question,supporting_information
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 125}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 41, 'y': 14}}, {'unit_id': 3, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 52, 'y': 36}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 56, 'y': 52}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 52, 'y': 123}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 63, 'y': 125}}, {'unit_id': 7, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 65, 'y': 142}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 74, 'y': 77}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 65, 'y': 43}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 38, 'y': 43}}, {'unit_id': 11, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 198, 'y': 176}}, {'unit_id': 12, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 107, 'y': 67}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 127, 'y': 59}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 161, 'y': 18}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 192, 'y': 150}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 144, 'y': 57}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 113, 'y': 66}}, {'unit_id': 18, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 127, 'y': 152}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 150, 'y': 41}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 190, 'y': 125}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 78, 'y': 157}}, {'unit_id': 2, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 46, 'y': 154}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 8, 'y': 192}}, {'unit_id': 4, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 2, 'y': 125}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 50, 'y': 151}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 30, 'y': 94}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 61, 'y': 123}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 49, 'y': 85}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 1, 'y': 4}}, {'unit_id': 10, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 160}}, {'unit_id': 11, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 162, 'y': 78}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 142, 'y': 181}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 194, 'y': 80}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 105, 'y': 81}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 151, 'y': 157}}, {'unit_id': 16, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 129, 'y': 130}}, {'unit_id': 17, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 198, 'y': 54}}, {'unit_id': 18, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 197, 'y': 78}}, {'unit_id': 19, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 183, 'y': 13}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 143, 'y': 131}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 82, 'y': 181}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 106}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 63, 'y': 76}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 5, 'y': 22}}, {'unit_id': 5, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 23, 'y': 70}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 64, 'y': 16}}, {'unit_id': 7, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 71, 'y': 41}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 42, 'y': 94}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 70, 'y': 198}}, {'unit_id': 10, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 88, 'y': 195}}, {'unit_id': 11, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 141, 'y': 51}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 149, 'y': 196}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 197, 'y': 120}}, {'unit_id': 14, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 149, 'y': 136}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 192, 'y': 85}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 147, 'y': 104}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 155, 'y': 155}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 167, 'y': 93}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 198, 'y': 186}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 160, 'y': 86}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 61, 'y': 133}}, {'unit_id': 2, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 1, 'y': 58}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 86}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 28, 'y': 11}}, {'unit_id': 5, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 56, 'y': 8}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 9, 'y': 92}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 19, 'y': 21}}, {'unit_id': 8, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 41, 'y': 181}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 82, 'y': 129}}, {'unit_id': 10, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 80, 'y': 157}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 180, 'y': 9}}, {'unit_id': 12, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 135, 'y': 155}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 115, 'y': 94}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 198, 'y': 22}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 125, 'y': 150}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 141, 'y': 72}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 197, 'y': 141}}, {'unit_id': 18, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 185, 'y': 72}}, {'unit_id': 19, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 169, 'y': 104}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 140, 'y': 101}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 49, 'y': 118}}, {'unit_id': 2, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 18, 'y': 88}}, {'unit_id': 3, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 44, 'y': 96}}, {'unit_id': 4, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 85, 'y': 138}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 20, 'y': 156}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 72, 'y': 141}}, {'unit_id': 7, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 25, 'y': 4}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 3, 'y': 103}}, {'unit_id': 9, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 25, 'y': 56}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 13, 'y': 55}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 128, 'y': 27}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 165, 'y': 161}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 190, 'y': 125}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 120, 'y': 184}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 75}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 183, 'y': 38}}, {'unit_id': 17, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 172, 'y': 47}}, {'unit_id': 18, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 185, 'y': 77}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 163, 'y': 7}}, {'unit_id': 20, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 134, 'y': 132}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 47, 'y': 59}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 84, 'y': 4}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 86, 'y': 174}}, {'unit_id': 4, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 87, 'y': 84}}, {'unit_id': 5, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 25, 'y': 187}}, {'unit_id': 6, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 79, 'y': 123}}, {'unit_id': 7, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 50, 'y': 7}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 34, 'y': 124}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 56, 'y': 52}}, {'unit_id': 10, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 37, 'y': 153}}, {'unit_id': 11, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 158, 'y': 47}}, {'unit_id': 12, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 157, 'y': 17}}, {'unit_id': 13, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 191, 'y': 28}}, {'unit_id': 14, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 143, 'y': 143}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 137, 'y': 189}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 59}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 142, 'y': 200}}, {'unit_id': 18, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 114, 'y': 93}}, {'unit_id': 19, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 171, 'y': 68}}, {'unit_id': 20, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 159, 'y': 27}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 43, 'y': 18}}, {'unit_id': 2, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 62, 'y': 153}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 31, 'y': 112}}, {'unit_id': 4, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 71, 'y': 123}}, {'unit_id': 5, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 39, 'y': 71}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 45, 'y': 134}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 20, 'y': 155}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 83, 'y': 137}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 52, 'y': 185}}, {'unit_id': 10, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 34, 'y': 78}}, {'unit_id': 11, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 71}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 200, 'y': 109}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 172, 'y': 149}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 127}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 165, 'y': 171}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 115, 'y': 107}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 157, 'y': 47}}, {'unit_id': 18, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 139, 'y': 175}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 107, 'y': 50}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 127, 'y': 157}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 78, 'y': 179}}, {'unit_id': 2, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 40, 'y': 190}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 21, 'y': 184}}, {'unit_id': 4, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 14, 'y': 60}}, {'unit_id': 5, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 7, 'y': 44}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 17, 'y': 64}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 43, 'y': 37}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 16, 'y': 114}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 25, 'y': 193}}, {'unit_id': 10, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 12, 'y': 200}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 166, 'y': 166}}, {'unit_id': 12, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 165, 'y': 126}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 140, 'y': 5}}, {'unit_id': 14, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 153, 'y': 147}}, {'unit_id': 15, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 146, 'y': 61}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 114, 'y': 13}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 5}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 156, 'y': 89}}, {'unit_id': 19, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 194, 'y': 194}}, {'unit_id': 20, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 171, 'y': 27}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 34, 'y': 122}}, {'unit_id': 2, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 69, 'y': 93}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 36, 'y': 65}}, {'unit_id': 4, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 74, 'y': 55}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 49, 'y': 66}}, {'unit_id': 6, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 54}}, {'unit_id': 7, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 16, 'y': 101}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 52, 'y': 112}}, {'unit_id': 9, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 77, 'y': 48}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 23, 'y': 49}}, {'unit_id': 11, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 198, 'y': 23}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 141, 'y': 36}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 164, 'y': 121}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 155, 'y': 114}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 146, 'y': 42}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 174, 'y': 166}}, {'unit_id': 17, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 160, 'y': 143}}, {'unit_id': 18, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 166, 'y': 97}}, {'unit_id': 19, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 105, 'y': 137}}, {'unit_id': 20, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 199, 'y': 23}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 76, 'y': 87}}, {'unit_id': 2, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 36, 'y': 77}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 56, 'y': 70}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 1, 'y': 30}}, {'unit_id': 5, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 62, 'y': 85}}, {'unit_id': 6, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 69, 'y': 70}}, {'unit_id': 7, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 50, 'y': 84}}, {'unit_id': 8, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 51, 'y': 12}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 45, 'y': 118}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 72, 'y': 18}}, {'unit_id': 11, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 122, 'y': 94}}, {'unit_id': 12, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 186, 'y': 104}}, {'unit_id': 13, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 192, 'y': 19}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 125, 'y': 47}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 46}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 191, 'y': 122}}, {'unit_id': 17, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 132, 'y': 48}}, {'unit_id': 18, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 144, 'y': 72}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 140, 'y': 20}}, {'unit_id': 20, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 187, 'y': 183}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 76, 'y': 124}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 4, 'y': 68}}, {'unit_id': 3, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 18, 'y': 58}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 9, 'y': 23}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 76, 'y': 107}}, {'unit_id': 6, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 26}}, {'unit_id': 7, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 64, 'y': 37}}, {'unit_id': 8, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 41, 'y': 83}}, {'unit_id': 9, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 35, 'y': 191}}, {'unit_id': 10, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 18, 'y': 97}}, {'unit_id': 11, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 177, 'y': 125}}, {'unit_id': 12, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 180, 'y': 107}}, {'unit_id': 13, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 156, 'y': 56}}, {'unit_id': 14, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 125, 'y': 179}}, {'unit_id': 15, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 121, 'y': 138}}, {'unit_id': 16, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 117, 'y': 56}}, {'unit_id': 17, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 108, 'y': 162}}, {'unit_id': 18, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 128, 'y': 136}}, {'unit_id': 19, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 109}}, {'unit_id': 20, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 108, 'y': 72}}]"
Can you help me generate a military course of action given the support information?,"[{'unit_id': 1, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 40, 'y': 3}}, {'unit_id': 2, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 59, 'y': 1}}, {'unit_id': 3, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 77, 'y': 138}}, {'unit_id': 4, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 70, 'y': 9}}, {'unit_id': 5, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 69, 'y': 95}}, {'unit_id': 6, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 14, 'y': 118}}, {'unit_id': 7, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 47, 'y': 43}}, {'unit_id': 8, 'unit_type': 'Armor', 'alliance': 'Friendly', 'position': {'x': 38, 'y': 79}}, {'unit_id': 9, 'unit_type': 'Aviation', 'alliance': 'Friendly', 'position': {'x': 39, 'y': 164}}, {'unit_id': 10, 'unit_type': 'Artillery', 'alliance': 'Friendly', 'position': {'x': 77, 'y': 142}}, {'unit_id': 11, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 158, 'y': 136}}, {'unit_id': 12, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 135, 'y': 163}}, {'unit_id': 13, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 137, 'y': 145}}, {'unit_id': 14, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 132, 'y': 11}}, {'unit_id': 15, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 189, 'y': 97}}, {'unit_id': 16, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 182, 'y': 35}}, {'unit_id': 17, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 123, 'y': 113}}, {'unit_id': 18, 'unit_type': 'Aviation', 'alliance': 'Hostile', 'position': {'x': 155, 'y': 143}}, {'unit_id': 19, 'unit_type': 'Artillery', 'alliance': 'Hostile', 'position': {'x': 160, 'y': 101}}, {'unit_id': 20, 'unit_type': 'Armor', 'alliance': 'Hostile', 'position': {'x': 117, 'y': 12}}]"
